epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9289,1.42684,2.88898,1.77399,0.75908,0.75906,0.89653,0.54198,1.52559,3.1466,2.47422,0.00022864,0.00022864,0.00022864
2,15.7497,1.14797,1.17856,1.45357,0.70933,0.82893,0.72355,0.46531,1.32455,1.73278,1.81372,0.000459899,0.000459899,0.000459899
3,22.505,1.17125,0.98405,1.44644,0.6132,0.75992,0.62959,0.27594,1.71897,3.00308,2.4464,0.000679132,0.000679132,0.000679132
4,28.1563,1.1249,0.86403,1.37449,0.49681,0.81746,0.65239,0.29432,2.10258,2.25359,2.7345,0.000886341,0.000886341,0.000886341
5,34.8063,1.14195,0.83053,1.38188,0.19548,0.19857,0.17074,0.08773,2.5612,3.06291,2.63524,0.00108152,0.00108152,0.00108152
6,40.4197,1.16041,0.84746,1.39832,0.03202,0.07407,0.03146,0.00459,3.71048,4.71904,3.78051,0.00125216,0.00125216,0.00125216
7,46.9849,1.09085,0.79171,1.37102,0.29933,0.78344,0.37915,0.24566,1.77438,2.36466,2.02398,0.00121679,0.00121679,0.00121679
8,52.8102,1.15175,0.81722,1.38895,0.71129,0.86706,0.89425,0.46208,1.59098,1.13258,1.81419,0.00118143,0.00118143,0.00118143
9,59.2193,1.04955,0.76245,1.31492,0.5555,0.83796,0.69305,0.31336,1.85808,1.93485,1.95294,0.00114606,0.00114606,0.00114606
10,64.9667,1.05696,0.69984,1.31386,0.65827,0.95238,0.89799,0.57811,1.39867,2.15677,1.69142,0.00111069,0.00111069,0.00111069
11,71.1897,1.04866,0.64326,1.31742,0.79442,1,0.99344,0.67748,1.46983,1.08696,1.83478,0.00107532,0.00107532,0.00107532
12,77.4318,1.01974,0.62186,1.31077,0.91774,0.98611,0.97963,0.73619,1.31454,0.69093,1.61214,0.00103995,0.00103995,0.00103995
13,83.7061,1.02478,0.6246,1.30988,0.54901,0.79101,0.73915,0.42848,1.63699,1.01378,2.01108,0.00100459,0.00100459,0.00100459
14,89.7566,0.97866,0.67067,1.31786,0.61797,0.87265,0.77682,0.40211,1.5294,1.15039,1.80348,0.000969219,0.000969219,0.000969219
15,95.715,0.96336,0.63063,1.3113,0.47339,0.52872,0.56092,0.37242,1.48147,1.3308,1.63016,0.000933851,0.000933851,0.000933851
16,102.001,1.06072,0.63871,1.34165,0.91863,0.92666,0.98738,0.54592,1.40299,0.78036,1.70816,0.000898484,0.000898484,0.000898484
17,107.755,0.97659,0.60172,1.29398,0.97605,1,0.995,0.77305,1.02412,0.41303,1.45335,0.000863116,0.000863116,0.000863116
18,114.278,1.02817,0.58874,1.29692,0.94792,0.98611,0.9758,0.77588,1.01084,0.49776,1.393,0.000827748,0.000827748,0.000827748
19,120.061,1.01604,0.57337,1.29516,0.9762,1,0.995,0.77414,0.95721,0.39241,1.33514,0.00079238,0.00079238,0.00079238
20,126.847,1.06124,0.6249,1.31334,0.96165,0.98611,0.9731,0.75858,1.05295,0.44628,1.47356,0.000757013,0.000757013,0.000757013
21,132.622,1.05839,0.61321,1.30373,0.95568,0.98611,0.9827,0.76033,1.1951,0.57149,1.45053,0.000721645,0.000721645,0.000721645
22,139.289,1.01123,0.57079,1.27902,0.82854,0.98611,0.97808,0.76298,1.1713,0.58272,1.42203,0.000686277,0.000686277,0.000686277
23,145.068,0.9383,0.545,1.26557,0.75335,0.98611,0.98267,0.68061,1.25271,0.76501,1.48432,0.000650909,0.000650909,0.000650909
24,151.657,1.04932,0.61039,1.29854,0.94407,1,0.99167,0.77017,1.04503,0.45741,1.37071,0.000615542,0.000615542,0.000615542
25,157.416,1.01811,0.57377,1.2795,0.96083,1,0.995,0.79341,0.9735,0.41505,1.30891,0.000580174,0.000580174,0.000580174
26,164.054,0.94629,0.55737,1.23985,0.92733,0.99662,0.99033,0.79034,1.00345,0.43733,1.33635,0.000544806,0.000544806,0.000544806
27,169.973,1.02681,0.57133,1.25842,0.78184,1,0.97414,0.76709,1.00327,0.65324,1.32073,0.000509438,0.000509438,0.000509438
28,176.626,0.9344,0.5471,1.2341,0.91692,1,0.995,0.80602,0.97189,0.41268,1.30627,0.000474071,0.000474071,0.000474071
29,182.462,0.96318,0.50782,1.23409,0.97478,1,0.995,0.78336,0.99027,0.40053,1.34604,0.000438703,0.000438703,0.000438703
30,189.204,0.92429,0.50801,1.24617,0.97833,1,0.995,0.80556,0.90175,0.35286,1.27256,0.000403335,0.000403335,0.000403335
31,196.642,1.10049,0.54216,1.391,0.97795,1,0.995,0.79218,1.05996,0.47502,1.35051,0.000367967,0.000367967,0.000367967
32,203.248,1.02759,0.51969,1.33518,0.97573,1,0.995,0.82944,0.92127,0.37008,1.24585,0.0003326,0.0003326,0.0003326
33,209.026,1.06655,0.45202,1.32193,0.97425,1,0.995,0.79933,0.9694,0.36573,1.29823,0.000297232,0.000297232,0.000297232
34,215.493,1.03423,0.46145,1.35447,0.90567,0.98611,0.97868,0.7884,0.99837,0.43241,1.30548,0.000261864,0.000261864,0.000261864
35,221.156,1.04683,0.44092,1.32336,0.97135,1,0.995,0.81193,0.9529,0.33895,1.27606,0.000226497,0.000226497,0.000226497
36,227.555,1.00245,0.42925,1.34685,0.97732,1,0.995,0.81298,0.92552,0.35142,1.23714,0.000191129,0.000191129,0.000191129
37,233.356,1.02294,0.43143,1.3332,0.98008,1,0.995,0.82372,0.91381,0.3289,1.23817,0.000155761,0.000155761,0.000155761
38,239.325,1.02248,0.42716,1.30229,0.97927,1,0.995,0.81463,0.92144,0.31971,1.25008,0.000120393,0.000120393,0.000120393
39,245.364,1.00862,0.45295,1.28519,0.97908,1,0.995,0.80878,0.92708,0.304,1.24779,8.50255e-05,8.50255e-05,8.50255e-05
40,251.017,1.00839,0.40904,1.29795,0.97779,1,0.995,0.81114,0.93241,0.30592,1.24634,4.96578e-05,4.96578e-05,4.96578e-05
